phon,cgram,freqfilms2,freqlivres,p_cvcv,syll
R*peNe,VeR,0.01,0.41,CVCVCV,R*-pe-Ne
miZot6,VeR,0,0.14,CVCVCV,mi-Zo-t6
fasone,VeR,0.23,1.08,CVCVCV,fa-so-ne
goSise,VeR,0,0.07,CVCVCV,go-Si-se
s5dike,VeR,0.13,0.34,CVCVCV,s5-di-ke
RepaRe,VeR,0.08,0.41,CVCVCV,Re-pa-Re
k6poze,VeR,0.04,0.34,CVCVCV,k6-po-ze
diRiZa,VeR,0,0.14,CVCVCV,di-Ri-Za
kom@de,ADJ,0.08,0.2,CVCVCV,ko-m@-de
k6t@te,VeR,0.37,9.32,CVCVCV,k6-t@-te
sideRe,ADJ,0,0.27,CVCVCV,si-de-Re
R*kyle,ADJ,0.39,1.42,CVCVCV,R*-ky-le
favela,NOM,1.25,0,CVCVCV,fa-ve-la
magane,VeR,0.03,0,CVCVCV,ma-ga-ne
milit@,NOM,1.18,4.86,CVCVCV,mi-li-t@
mitiZe,VeR,0.1,0.2,CVCVCV,mi-ti-Ze
kopyl@,VeR,0.02,0.07,CVCVCV,ko-py-l@
bulimi,NOM,0.26,0.47,CVCVCV,bu-li-mi
dilate,VeR,0.05,0.2,CVCVCV,di-la-te
SuSute,VeR,0.02,0.07,CVCVCV,Su-Su-te
pofine,VeR,0,0.07,CVCVCV,po-fi-ne
Ral*m@,NOM,0,0.07,CVCVCV,Ra-l*-m@
duluR2,ADJ,11.88,20.68,CVCVCV,du-lu-R2
gabone,NOM,0,0.34,CVCVCV,ga-bo-ne
maNifi,VeR,0.03,0.2,CVCVCV,ma-Ni-fi
mel*Ra,VeR,0.41,0.14,CVCVCV,me-l*-Ra
R*sina,NOM,0.13,0,CVCVCV,R*-si-na
mel*Re,VeR,0.3,0.2,CVCVCV,me-l*-Re
Rafine,VeR,0,0.14,CVCVCV,Ra-fi-ne
g6fal6,NOM,0,0.07,CVCVCV,g6-fa-l6
pik*Re,VeR,0.08,0.27,CVCVCV,pi-k*-Re
t@pete,VeR,0.01,0.14,CVCVCV,t@-pe-te
maleze,ADJ,0.13,1.28,CVCVCV,ma-le-ze
devum@,NOM,4.03,8.51,CVCVCV,de-vu-m@
l@dole,NOM,0,0.07,CVCVCV,l@-do-le
S*mine,VeR,0,0.74,CVCVCV,S*-mi-ne
dut*Re,VeR,0.11,0.14,CVCVCV,du-t*-Re
kabot5,ADJ,0.03,0.07,CVCVCV,ka-bo-t5
satyRe,ADJ,0.12,0,CVCVCV,sa-ty-Re
lam@te,VeR,0,0.07,CVCVCV,la-m@-te
Sifona,VeR,0,0.2,CVCVCV,Si-fo-na
piloRi,NOM,0.01,0.14,CVCVCV,pi-lo-Ri
deRobe,ADJ,0.11,0.74,CVCVCV,de-Ro-be
RuZiRe,VeR,0.13,0.14,CVCVCV,Ru-Zi-Re
dek6fi,VeR,0.01,0.07,CVCVCV,de-k6-fi
mitone,VeR,0.02,0.27,CVCVCV,mi-to-ne
dekoRe,VeR,0.1,0,CVCVCV,de-ko-Re
defaze,ADJ,0.02,0.07,CVCVCV,de-fa-ze
baRake,ADJ,0.06,0.14,CVCVCV,ba-Ra-ke
posede,NOM,0.9,1.08,CVCVCV,po-se-de
seviRe,VeR,0.14,0.07,CVCVCV,se-vi-Re
R*lyke,VeR,0.04,0.07,CVCVCV,R*-ly-ke
kul*Ra,VeR,0.05,0,CVCVCV,ku-l*-Ra
bekot@,VeR,0,0.14,CVCVCV,be-ko-t@
k6some,VeR,3,4.12,CVCVCV,k6-so-me
seleRa,NOM,2.19,0.27,CVCVCV,se-le-Ra
patine,VeR,0.27,1.01,CVCVCV,pa-ti-ne
Risole,VeR,0.01,0.27,CVCVCV,Ri-so-le
k@talu,NOM,0.01,0.07,CVCVCV,k@-ta-lu
dekupe,ADJ,0.32,1.08,CVCVCV,de-ku-pe
monym@,NOM,1.61,8.78,CVCVCV,mo-ny-m@
koZite,VeR,0.01,0,CVCVCV,ko-Zi-te
dekad@,NOM,0.01,0.14,CVCVCV,de-ka-d@
saliRe,VeR,0.05,0.07,CVCVCV,sa-li-Re
suv*n6,VeR,0.97,0.27,CVCVCV,su-v*-n6
k6pase,ADJ,0,0.47,CVCVCV,k6-pa-se
R*laSe,VeR,4.77,0,CVCVCV,R*-la-Se
Rybato,ADV,0,0.07,CVCVCV,Ry-ba-to
S@bule,VeR,0.51,0.68,CVCVCV,S@-bu-le
devise,VeR,0.18,0.14,CVCVCV,de-vi-se
supiRe,VeR,0.13,6.96,CVCVCV,su-pi-Re
fatige,VeR,2.89,3.31,CVCVCV,fa-ti-ge
deZ@te,ADJ,0.15,0,CVCVCV,de-Z@-te
bityRe,VeR,0,0.14,CVCVCV,bi-ty-Re
nik*le,VeR,0,0.07,CVCVCV,ni-k*-le
fom@te,VeR,0,0.07,CVCVCV,fo-m@-te
R*baty,ADJ,0.02,0,CVCVCV,R*-ba-ty
R*seR@,VeR,0,0.61,CVCVCV,R*-se-R@
minysi,NOM,0.14,0.14,CVCVCV,mi-ny-si
matine,VeR,0,0.14,CVCVCV,ma-ti-ne
m*zyRa,VeR,0,0.14,CVCVCV,m*-zy-Ra
dep*se,VeR,0.03,0,CVCVCV,de-p*-se
taRode,VeR,0,0.14,CVCVCV,ta-Ro-de
defule,VeR,0.01,0,CVCVCV,de-fu-le
piZama,NOM,1.01,2.5,CVCVCV,pi-Za-ma
salyRe,VeR,0.03,0.07,CVCVCV,sa-ly-Re
p6pone,VeR,0,0.2,CVCVCV,p6-po-ne
def*Re,VeR,0.15,0.27,CVCVCV,de-f*-Re
pan*t6,NOM,0.01,0,CVCVCV,pa-n*-t6
deseRa,VeR,0,0.07,CVCVCV,de-se-Ra
gaRote,VeR,0.01,0.14,CVCVCV,ga-Ro-te
dem6te,ADJ,0.01,0.14,CVCVCV,de-m6-te
R*lize,VeR,0.7,0.54,CVCVCV,R*-li-ze
k6syme,VeR,0,0.14,CVCVCV,k6-sy-me
Rabese,VeR,1.65,1.22,CVCVCV,Ra-be-se
piloti,NOM,0.33,2.3,CVCVCV,pi-lo-ti
p@S*R6,VeR,0.37,0.14,CVCVCV,p@-S*-R6
maRine,VeR,0,0.14,CVCVCV,ma-Ri-ne
des*le,VeR,0,0.14,CVCVCV,de-s*-le
d@t*le,ADJ,0.01,0.47,CVCVCV,d@-t*-le
depeN@,VeR,0.02,0,CVCVCV,de-pe-N@
m@tiRe,VeR,1.6,0.14,CVCVCV,m@-ti-Re
d2mis@,NOM,0.01,0.07,CVCVCV,d2-mi-s@
tupin@,VeR,0,0.14,CVCVCV,tu-pi-n@
tusote,VeR,0,0.07,CVCVCV,tu-so-te
pys*R6,NOM,0.06,0.2,CVCVCV,py-s*-R6
kanone,VeR,0,0.07,CVCVCV,ka-no-ne
mom*Ri,NOM,0,0.27,CVCVCV,mo-m*-Ri
seR*Re,VeR,0.06,0.07,CVCVCV,se-R*-Re
RaS*te,VeR,0,0.14,CVCVCV,Ra-S*-te
fyz*le,ADJ,0.14,0.14,CVCVCV,fy-z*-le
balize,VeR,0.01,0.14,CVCVCV,ba-li-ze
libeR@,VeR,0.23,2.16,CVCVCV,li-be-R@
deseRe,VeR,0.38,3.58,CVCVCV,de-se-Re
dem@ti,NOM,0.03,0.61,CVCVCV,de-m@-ti
defeke,VeR,0.14,0.07,CVCVCV,de-fe-ke
k6poze,ADJ,0.03,0.27,CVCVCV,k6-po-ze
Rabaty,ADJ,0,0.68,CVCVCV,Ra-ba-ty
fasine,VeR,2.67,9.46,CVCVCV,fa-si-ne
panaSe,ADJ,0.05,0.41,CVCVCV,pa-na-Se
Retame,VeR,0,0.07,CVCVCV,Re-ta-me
R*buSe,VeR,0,0.07,CVCVCV,R*-bu-Se
d@sota,VeR,0,0.07,CVCVCV,d@-so-ta
d@dine,VeR,0,0.07,CVCVCV,d@-di-ne
Ramase,VeR,0.81,1.08,CVCVCV,Ra-ma-se
kal*p5,NOM,0.17,0.61,CVCVCV,ka-l*-p5
s@tiRe,VeR,1.2,2.91,CVCVCV,s@-ti-Re
deteN@,VeR,0,0.07,CVCVCV,de-te-N@
k6voke,VeR,0.01,0.41,CVCVCV,k6-vo-ke
koSone,ADJ,0,0.07,CVCVCV,ko-So-ne
sepaRa,VeR,0,0.27,CVCVCV,se-pa-Ra
diseke,VeR,0.01,0.07,CVCVCV,di-se-ke
k6kyR@,NOM,1.65,1.49,CVCVCV,k6-ky-R@
k@kane,VeR,0,0.07,CVCVCV,k@-ka-ne
Raz*Re,VeR,0.05,0.27,CVCVCV,Ra-z*-Re
kyv*Re,VeR,0.01,0,CVCVCV,ky-v*-Re
demule,VeR,0,0.07,CVCVCV,de-mu-le
depoz6,VeR,0.1,0.2,CVCVCV,de-po-z6
Sik*m@,ADV,0.01,0.14,CVCVCV,Si-k*-m@
Ravale,VeR,0,0.14,CVCVCV,Ra-va-le
figyRe,ADJ,0.56,0.95,CVCVCV,fi-gy-Re
degute,NOM,0.01,0.74,CVCVCV,de-gu-te
dem@Ze,VeR,0.29,1.42,CVCVCV,de-m@-Ze
pOm*le,VeR,0,0.07,CVCVCV,pO-m*-le
Rafine,VeR,0.19,0.41,CVCVCV,Ra-fi-ne
k6tiny,VeR,76.64,50.54,CVCVCV,k6-ti-ny
Radote,VeR,0.1,0,CVCVCV,Ra-do-te
SySote,VeR,1.46,3.92,CVCVCV,Sy-So-te
k6syme,VeR,0.05,0,CVCVCV,k6-sy-me
Revize,VeR,0,0.14,CVCVCV,Re-vi-ze
sys*Re,VeR,0.1,0.27,CVCVCV,sy-s*-Re
gaN*Ra,VeR,2.56,0.74,CVCVCV,ga-N*-Ra
Rezyme,VeR,0,0.14,CVCVCV,Re-zy-me
simili,NOM,0.04,1.01,CVCVCV,si-mi-li
paRafe,VeR,0.06,0,CVCVCV,pa-Ra-fe
seRaf5,NOM,0.06,0.2,CVCVCV,se-Ra-f5
pyR*te,NOM,0,0.07,CVCVCV,py-R*-te
Rekole,NOM,0,0.74,CVCVCV,Re-ko-le
RabaSe,VeR,0.12,0.34,CVCVCV,Ra-ba-Se
pikoRe,VeR,0,0.07,CVCVCV,pi-ko-Re
k6pati,VeR,2.07,0.34,CVCVCV,k6-pa-ti
tityb@,ADJ,0.01,1.28,CVCVCV,ti-ty-b@
dezav2,NOM,0.07,0.61,CVCVCV,de-za-v2
debaRa,VeR,0,0.07,CVCVCV,de-ba-Ra
sumaR5,ADJ,2.42,1.28,CVCVCV,su-ma-R5
R*v@dy,VeR,0.28,0,CVCVCV,R*-v@-dy
basine,NOM,0.16,0.34,CVCVCV,ba-si-ne
R*pas@,VeR,0.31,1.96,CVCVCV,R*-pa-s@
v@tile,VeR,0.01,0.34,CVCVCV,v@-ti-le
nepale,NOM,0.01,0.07,CVCVCV,ne-pa-le
fyR*te,VeR,0,0.07,CVCVCV,fy-R*-te
libido,NOM,1.79,1.22,CVCVCV,li-bi-do
vOg*R6,VeR,0.12,0.07,CVCVCV,vO-g*-R6
sifone,ADJ,0.17,0.14,CVCVCV,si-fo-ne
komete,VeR,0.06,0.41,CVCVCV,ko-me-te
koRele,VeR,0.01,0,CVCVCV,ko-Re-le
defiZe,VeR,0,0.07,CVCVCV,de-fi-Ze
sutiRe,VeR,0.01,0,CVCVCV,su-ti-Re
polone,NOM,7.06,8.18,CVCVCV,po-lo-ne
p@S*m@,NOM,0,0.2,CVCVCV,p@-S*-m@
litani,NOM,0.56,4.53,CVCVCV,li-ta-ni
def*ze,VeR,0.04,2.5,CVCVCV,de-f*-ze
sakaZa,VeR,0.1,0.27,CVCVCV,sa-ka-Za
Rigolo,ADJ,5,2.64,CVCVCV,Ri-go-lo
Z@tim@,ADV,11.32,21.76,CVCVCV,Z@-ti-m@
koRiZe,NOM,0.03,0.07,CVCVCV,ko-Ri-Ze
k6d@se,VeR,0.03,0.14,CVCVCV,k6-d@-se
m@tiR6,VeR,0.04,0.07,CVCVCV,m@-ti-R6
talon6,VeR,0.01,0,CVCVCV,ta-lo-n6
l@bin@,VeR,0,0.07,CVCVCV,l@-bi-n@
depas@,VeR,0.47,4.86,CVCVCV,de-pa-s@
bav*Re,VeR,0.02,0.07,CVCVCV,ba-v*-Re
defiRa,VeR,0.05,0,CVCVCV,de-fi-Ra
R*nim@,NOM,0.02,1.42,CVCVCV,R*-ni-m@
R2peS@,VeR,0.01,0,CVCVCV,R2-pe-S@
def@dy,VeR,0.5,0.47,CVCVCV,de-f@-dy
R*f*Ra,VeR,1.28,0.27,CVCVCV,R*-f*-Ra
potiR6,NOM,0.99,0.61,CVCVCV,po-ti-R6
R*gaNe,VeR,0.02,1.01,CVCVCV,R*-ga-Ne
R*s@ti,ADJ,0.03,0.07,CVCVCV,R*-s@-ti
men*Re,VeR,0.98,2.3,CVCVCV,me-n*-Re
R*vety,ADJ,0,0.27,CVCVCV,R*-ve-ty
bip*Re,VeR,0.06,0,CVCVCV,bi-p*-Re
myZis@,ADJ,0,0.07,CVCVCV,my-Zi-s@
kalez6,NOM,0.1,0,CVCVCV,ka-le-z6
R*vule,VeR,0.01,0.14,CVCVCV,R*-vu-le
kam*Ra,VeR,0.59,0.14,CVCVCV,ka-m*-Ra
RatyRe,VeR,0,0.07,CVCVCV,Ra-ty-Re
R*bif@,VeR,0,0.07,CVCVCV,R*-bi-f@
kabote,VeR,0,0.07,CVCVCV,ka-bo-te
k6fese,VeR,0.15,0.74,CVCVCV,k6-fe-se
S*mine,NOM,9.99,36.28,CVCVCV,S*-mi-ne
R*n6se,VeR,15.23,21.55,CVCVCV,R*-n6-se
R@p*Re,VeR,0,0.07,CVCVCV,R@-p*-Re
l@paRo,NOM,0,0.14,CVCVCV,l@-pa-Ro
R*S@pi,NOM,0,0.07,CVCVCV,R*-S@-pi
RaS*te,VeR,0.09,0.07,CVCVCV,Ra-S*-te
bukin@,VeR,0.01,0.07,CVCVCV,bu-ki-n@
sOt*m@,ADV,0.33,2.3,CVCVCV,sO-t*-m@
mORoRa,NOM,0.61,0.47,CVCVCV,mO-Ro-Ra
t5pan6,NOM,0.03,0.2,CVCVCV,t5-pa-n6
getap@,NOM,0.68,0.74,CVCVCV,ge-ta-p@
v@t*Re,VeR,0.07,0.07,CVCVCV,v@-t*-Re
fis*le,VeR,0.36,2.03,CVCVCV,fi-s*-le
demode,VeR,0.03,0.14,CVCVCV,de-mo-de
R*done,VeR,0,0.2,CVCVCV,R*-do-ne
bityme,VeR,0.01,0.07,CVCVCV,bi-ty-me
dem@Ze,VeR,0.13,0.07,CVCVCV,de-m@-Ze
panaSe,NOM,0.02,0.2,CVCVCV,pa-na-Se
debale,VeR,0.02,0.07,CVCVCV,de-ba-le
dekuSa,VeR,0,0.07,CVCVCV,de-ku-Sa
deSene,VeR,0.06,0.07,CVCVCV,de-Se-ne
sel*Ra,VeR,0.03,0,CVCVCV,se-l*-Ra
l5Z*Ri,NOM,4.11,4.73,CVCVCV,l5-Z*-Ri
Riv*te,VeR,0,0.07,CVCVCV,Ri-v*-te
Ravive,VeR,0,0.07,CVCVCV,Ra-vi-ve
R*v*ne,VeR,7.47,56.76,CVCVCV,R*-v*-ne
boZole,NOM,0.04,1.49,CVCVCV,bo-Zo-le
